,nr_steps,sample_size,mean,std,se,nr_features
0,2,5,0.43500000000000005,0.08215838362577493,0.03674234614174768,3
1,2,10,0.43999999999999995,0.09287087810503354,0.04153311931459037,3
2,2,50,0.31999999999999995,0.03708099243547831,0.016583123951777,3
3,2,100,0.325,0.082915619758885,0.03708099243547832,3
4,2,500,0.575,0.055901699437494706,0.024999999999999984,3
5,2,1000,0.7150000000000001,0.02236067977499792,0.01000000000000001,3
6,3,5,0.4700000000000001,0.08177713616898065,0.03657184709581949,4
7,3,10,0.565,0.0802340326794061,0.03588175023601832,4
8,3,50,0.525,0.04999999999999999,0.02236067977499789,4
9,3,100,0.575,0.03535533905932736,0.01581138830084189,4
10,3,500,0.86,0.05184110338331932,0.023184046238739268,4
11,3,1000,0.865,0.037914377220257714,0.016955824957813153,4
12,4,5,0.53,0.041079191812887446,0.01837117307087383,5
13,4,10,0.65,0.07705517503711226,0.034460121880225576,5
14,4,50,0.6900000000000001,0.08403868156985804,0.03758324094593226,5
15,4,100,0.86,0.05755432216610669,0.0257390753524675,5
16,4,500,0.925,0.030618621784789694,0.013693063937629138,5
17,4,1000,0.9550000000000001,0.027386127875258303,0.01224744871391589,5
18,5,5,0.5599999999999999,0.05755432216610667,0.02573907535246749,6
19,5,10,0.825,0.061237243569579436,0.027386127875258296,6
20,5,50,0.7600000000000001,0.06020797289396148,0.02692582403567252,6
21,5,100,0.9550000000000001,0.03259601202601324,0.014577379737113249,6
22,5,500,0.9949999999999999,0.011180339887498962,0.005000000000000006,6
23,5,1000,0.99,0.013693063937629143,0.00612372435695794,6
24,6,5,0.5449999999999999,0.07373940601876315,0.032977264895682305,7
25,6,10,0.735,0.06754628043053147,0.030207614933986424,7
26,6,50,0.8099999999999999,0.051841103383319306,0.02318404623873926,7
27,6,100,0.89,0.0285043856274785,0.012747548783981984,7
28,6,500,0.9949999999999999,0.011180339887498926,0.00499999999999999,7
29,6,1000,0.9850000000000001,0.013693063937629145,0.006123724356957941,7
30,7,5,0.555,0.0758287544405155,0.033911649915626334,8
31,7,10,0.86,0.037914377220257804,0.01695582495781319,8
32,7,50,0.8099999999999999,0.05755432216610666,0.025739075352467486,8
33,7,100,0.9650000000000001,0.013693063937629186,0.00612372435695796,8
34,7,500,1.0,0.0,0.0,8
35,7,1000,0.9850000000000001,0.013693063937629145,0.006123724356957941,8
36,8,5,0.5449999999999999,0.0670820393249937,0.03,9
37,8,10,0.8699999999999999,0.048088460154178385,0.021505813167606577,9
38,8,50,0.93,0.03259601202601323,0.014577379737113243,9
39,8,100,0.97,0.03259601202601322,0.01457737973711324,9
40,8,500,1.0,0.0,0.0,9
41,8,1000,1.0,0.0,0.0,9
42,9,5,0.5449999999999999,0.0670820393249937,0.03,10
43,9,10,0.885,0.02236067977499792,0.01000000000000001,10
44,9,50,0.915,0.03791437722025771,0.01695582495781315,10
45,9,100,0.99,0.013693063937629143,0.00612372435695794,10
46,9,500,1.0,0.0,0.0,10
47,9,1000,1.0,0.0,0.0,10
48,10,5,0.54,0.0720243014544397,0.032210246816812824,11
49,10,10,0.9099999999999999,0.041833001326703784,0.01870828693386971,11
50,10,50,0.8800000000000001,0.07158910531638168,0.03201562118716421,11
51,10,100,0.985,0.013693063937629162,0.006123724356957949,11
52,10,500,1.0,0.0,0.0,11
53,10,1000,1.0,0.0,0.0,11
54,11,5,0.54,0.0720243014544397,0.032210246816812824,12
55,11,10,0.9,0.05303300858899107,0.023717082451262847,12
56,11,50,0.9349999999999999,0.02236067977499786,0.009999999999999983,12
57,11,100,0.9949999999999999,0.011180339887498964,0.005000000000000007,12
58,11,500,1.0,0.0,0.0,12
59,11,1000,1.0,0.0,0.0,12
60,12,5,0.5449999999999999,0.0670820393249937,0.03,13
61,12,10,0.905,0.0370809924354783,0.016583123951776992,13
62,12,50,0.925,0.03952847075210471,0.01767766952966367,13
63,12,100,1.0,0.0,0.0,13
64,12,500,1.0,0.0,0.0,13
65,12,1000,1.0,0.0,0.0,13
66,13,5,0.5449999999999999,0.0670820393249937,0.03,14
67,13,10,0.9100000000000001,0.05755432216610666,0.025739075352467486,14
68,13,50,0.9199999999999999,0.05968668193156659,0.02669269563007827,14
69,13,100,0.9949999999999999,0.011180339887498926,0.00499999999999999,14
70,13,500,1.0,0.0,0.0,14
71,13,1000,1.0,0.0,0.0,14
72,14,5,0.54,0.0720243014544397,0.032210246816812824,15
73,14,10,0.9,0.055901699437494776,0.025000000000000015,15
74,14,50,0.9400000000000001,0.04183300132670375,0.018708286933869694,15
75,14,100,0.9949999999999999,0.011180339887498926,0.00499999999999999,15
76,14,500,1.0,0.0,0.0,15
77,14,1000,1.0,0.0,0.0,15
78,15,5,0.54,0.0720243014544397,0.032210246816812824,16
79,15,10,0.8950000000000001,0.06471089552772392,0.028939592256975562,16
80,15,50,0.95,0.02499999999999999,0.011180339887498943,16
81,15,100,0.9949999999999999,0.011180339887498964,0.005000000000000007,16
82,15,500,1.0,0.0,0.0,16
83,15,1000,1.0,0.0,0.0,16
84,16,5,0.54,0.0720243014544397,0.032210246816812824,17
85,16,10,0.8950000000000001,0.048088460154178364,0.021505813167606566,17
86,16,50,0.95,0.04677071733467426,0.02091650066335188,17
87,16,100,0.9949999999999999,0.011180339887498964,0.005000000000000007,17
88,16,500,1.0,0.0,0.0,17
89,16,1000,1.0,0.0,0.0,17
90,17,5,0.5449999999999999,0.0670820393249937,0.03,18
91,17,10,0.8950000000000001,0.048088460154178364,0.021505813167606566,18
92,17,50,0.9550000000000001,0.03259601202601322,0.01457737973711324,18
93,17,100,0.9949999999999999,0.011180339887498964,0.005000000000000007,18
94,17,500,1.0,0.0,0.0,18
95,17,1000,1.0,0.0,0.0,18
96,18,5,0.5349999999999999,0.07826237921249264,0.034999999999999996,19
97,18,10,0.9,0.055901699437494776,0.025000000000000015,19
98,18,50,0.9549999999999998,0.02091650066335187,0.009354143466934845,19
99,18,100,1.0,0.0,0.0,19
100,18,500,1.0,0.0,0.0,19
101,18,1000,1.0,0.0,0.0,19
102,19,5,0.5349999999999999,0.07826237921249264,0.034999999999999996,20
103,19,10,0.905,0.05968668193156662,0.02669269563007828,20
104,19,50,0.95,0.017677669529663636,0.007905694150420925,20
105,19,100,1.0,0.0,0.0,20
106,19,500,1.0,0.0,0.0,20
107,19,1000,1.0,0.0,0.0,20
